375,0.001641,1677,1742.6,3.829
400,0.001911,1855,1931.4,4.1145
425,0.002538,2097.5,2199,4.5044
450,0.003692,2364.2,2511.8,4.9449
500,0.005623,2681.6,2906.5,5.4744
550,0.006985,2875.1,3154.4,5.7857
600,0.008089,3026.8,3350.4,6.017
650,0.009053,3159.5,3521.6,6.2078
700,0.009930,3282,3679.2,6.374
800,0.011521,3511.8,3972.6,6.6613
900,0.012980,3733.3,4252.5,6.9107
1000,0.014360,3952.9,4527.3,7.1355
1100,0.015686,4173.7,4801.1,7.3425
1200,0.016976,4396.9,5075.9,7.5357
1300,0.018239,4623.3,5352.8,7.7175
