0,0.0009767,0.29,49.13 ,-0.0010
20,0.0009805,80.93,129.95,0.2845
40,0.0009872,161.9,211.25,0.5528
60,0.0009962,243.08,292.88,0.8055
80,0.0010072,324.42,374.78,1.0442
100,0.0010201,405.94,456.94,1.2705
120,0.0010349,487.69,539.43,1.4859
140,0.0010517,569.77,622.36,1.6916
160,0.0010704,652.33,705.85,1.8889
180,0.0010914,735.49,790.06,2.079
200,0.0011149,819.45,875.19,2.2628
220,0.0011412,904.39,961.45,2.4414
240,0.0011708,990.55,1049.1,2.6156
260,0.0012044,1078.2,1138.4,2.7864
280,0.0012430,1167.7,1229.9,2.9547
300,0.0012879,1259.6,1324,3.1218
320,0.0013409,1354.3,1421.4,3.2888
340,0.0014049,1452.9,1523.1,3.4575
360,0.0014848,1556.5,1630.7,3.6301
380,0.0015884,1667.1,1746.5,3.8102
