0,0.0009857,0.29,29.86,0.0003
20,0.0009886,82.11,111.77,0.2897
40,0.0009951,164.05,193.9,0.5607
60,0.0010042,246.14,276.26,0.8156
80,0.0010155,328.4,358.86,1.0564
100,0.0010290,410.87,441.74,1.2847
120,0.0010445,493.66,525,1.502
140,0.0010623,576.9,608.76,1.7098
160,0.0010823,660.74,693.21,1.9094
180,0.0011049,745.4,778.55,2.102
200,0.0011304,831.11,865.02,2.2888
220,0.0011595,918.15,952.93,2.4707
240,0.0011927,1006.9,1042.7,2.6491
260,0.0012314,1097.8,1134.7,2.825
280,0.0012770,1191.5,1229.8,3.0001
300,0.0013322,1288.9,1328.9,3.1761
320,0.0014014,1391.7,1433.7,3.3558
340,0.0014932,1502.4,1547.1,3.5438
360,0.0016276,1626.8,1675.6,3.7499
380,0.0018729,1782,1838.2,4.0026
