0,0.0009952,0.12,10.07,0.0003
20,0.0009973,83.31,93.28,0.2943
40,0.0010035,166.33,176.37,0.5685
60,0.0010127,249.43,259.55,0.8260
80,0.0010244,332.69,342.94,1.0691
100,0.0010385,416.23,426.62,1.2996
120,0.0010549,500.18,510.73,1.5191
140,0.0010738,584.72,595.45,1.7293
160,0.0010954,670.06,681.01,1.9316
180,0.0011200,756.48,767.68,2.1271
200,0.0011482,844.32,855.8,2.3174
220,0.0011809,934.01,945.82,2.5037
240,0.0012192,1026.2,1038.3,2.6876
260,0.0012653,1121.6,1134.3,2.871
280,0.0013226,1221.8,1235,3.0565
300,0.0013980,1329.4,1343.3,3.2488
